Index,Product,Value_EU,Value_NLD,Percentage
323,940510,230518.693,9355.147,4.058302985
324,870421,230099.849,153.722,0.06680665
325,851790,229319.652,4576.338,1.995615273
326,270750,229030.883,15394.543,6.721601383
327,843999,229018.689,948.084,0.413976695
328,481190,229010.201,979.733,0.427811947
329,400219,228607.48,230.542,0.100846219
330,902690,228525.038,13845.139,6.058477934
331,391400,228440.607,326.153,0.142773653
332,843820,227847.244,73352.188,32.19358142
333,20329,227065.842,27731.786,12.21310337
334,681599,225889.004,5689.898,2.518891092
335,830990,225786.339,16223.742,7.185440037
336,300510,225728.371,1033.768,0.457969902
337,844319,224897.424,3373.529,1.500030076
338,293319,224120.038,90.759,0.04049571
339,252329,224073.073,10.867,0.004849757
340,330410,223774.354,4952.007,2.212946619
341,390950,223087.231,23688.516,10.61849927
342,200799,222956.13,2734.899,1.226653423
343,391390,222545.746,1691.38,0.760014528
344,848250,221908.806,1288.643,0.580708365
345,850710,221484.667,244.744,0.110501554
346,870130,220257.65,9030.988,4.100192661
347,481139,219525.894,24940.463,11.36105748
348,21019,219464.749,,
349,851671,218888.593,9572.882,4.37340378
350,130219,218684.997,1450.496,0.663280984
351,340220,218533.574,15744.897,7.204795452
352,640420,218229.421,356.117,0.163184688
353,940540,218180.955,5640.695,2.58532877
354,854390,218086.727,8617.562,3.95143809
355,890120,217155.769,,
356,903040,217122.431,1069.111,0.492400069
357,841590,216753.182,59543.523,27.47065692
358,842119,216688.632,1184.146,0.546473522
359,381519,216477.908,31785.516,14.68302992
360,854460,216233.528,1665.542,0.770251503
361,321410,215432.544,9516.17,4.417238836
362,851140,214127.68,2351.052,1.097967344
363,843680,213957.654,30049.808,14.04474551
364,611010,212721.625,131.319,0.061732793
365,830210,212468.975,714.725,0.336390289
366,903089,211964.106,5028.927,2.372537075
367,722530,211468.926,89630.438,42.38468493
368,820730,210083.297,2901.566,1.381150259
369,90121,209963.431,6811.129,3.243959659
370,420231,209780.398,2902.944,1.38380136
371,750522,208662.651,2003.919,0.96036305
372,852721,208409.508,20.63,0.009898781
373,950800,207398.819,31045.609,14.96903847
374,950390,206997.505,4210.567,2.034114856
375,853649,206874.527,1851.389,0.894933285
376,930630,206200.29,755.732,0.366503849
377,845590,205209.424,709.035,0.345517758
378,853720,205071.512,654.389,0.319102831
379,930330,205030.075,1.703,0.00083061
380,390810,204612.621,10068.54,4.9207815
381,392010,203867.036,10166.206,4.986684556
382,151590,203797.147,6061.773,2.974415044
383,848360,203552.96,1008.182,0.495292233
384,381121,201554.485,3542.057,1.757369478
385,844190,201041.757,15111.446,7.516570799
386,844330,200834.535,2600.753,1.294972999
387,842211,200631.278,564.701,0.281462096
388,940290,200533.7,13754.164,6.858779347
389,844180,198139.038,5108.092,2.578034118
390,820750,197888.42,1991.491,1.006370661
391,730620,197419.855,,
392,902230,194879.569,3672.816,1.884659341
393,731816,194472.054,1495.495,0.769002522
394,851580,193842.332,1997.725,1.03059274
395,120991,192724.205,121592.437,63.09141968
396,391990,192140.732,3750.881,1.952152967
397,180632,192137.618,3561.332,1.853531878
398,730840,192038.021,2498.48,1.301034028
399,851590,188997.647,8243.327,4.361602978
400,720441,188494.301,69469.433,36.85492486
401,846390,186922.315,88.477,0.047333567
402,903090,186168.444,3876.652,2.082335715
403,690919,185812.422,2280.973,1.227567552
404,30541,183919.45,91955.451,49.99767616
405,846299,182039.04,1500.769,0.824421509
406,271111,181846.768,,
407,350691,181623.094,19033.013,10.47940137
408,392350,181595.275,10759.25,5.924851294
409,350400,181257.192,9619.9,5.30732044
410,853180,180945.858,1857.864,1.026751328
411,901850,180819.867,16480.348,9.114235218
412,880390,180778.284,9129.734,5.050238224
413,481021,180579.089,4.612,0.002554006
414,450310,180469.493,0.195,0.000108052
415,870810,180166.984,610.161,0.338664158
416,842489,178490.153,5443.97,3.050011392
417,750512,178413.063,120.69,0.067646392
418,401199,178312.052,293.629,0.164671427
419,710812,176493.428,29.914,0.016949073
420,851660,176226.376,426.212,0.241854829
421,871419,175163.918,6020.263,3.436931001
422,847290,175132.776,65.329,0.037302555
423,391190,175021.474,362.335,0.207023168
424,900190,174611.776,3861.991,2.211758616
425,843340,174213.76,6001.531,3.444923639
426,711019,174094.218,57.48,0.033016605
427,860900,173387.996,65483.535,37.76705222
428,190110,172951.801,6824.12,3.945677328
429,902300,172907.091,10429.157,6.031653728
430,843360,172191.081,36492.353,21.1929403
431,30212,171136.638,6338.95,3.70402859
432,854470,170538.149,6670.054,3.911180014
433,850720,170138.935,799.266,0.469772542
434,390799,169798.936,38461.887,22.65142992
435,850790,169665.436,1316.247,0.775789714
436,730900,169550.496,7262.786,4.283553379
437,481840,168718.761,983.543,0.582948212
438,110900,168053.605,1021.8,0.60802028
439,721921,167922.232,634.133,0.377634928
440,710399,166303.992,5.376,0.003232634
441,420330,166233.431,1550.881,0.932953733
442,350110,166152.29,3.912,0.002354466
443,220290,165618.998,75124.514,45.3598409
444,901180,165415.355,17033.78,10.2975809
445,381590,164673.437,38072.412,23.11994739
446,843320,164610.25,968.86,0.588578172
447,940171,164225.093,2878.986,1.753073143
448,481039,164111.147,,
449,847759,163967.469,22490.919,13.71669584
450,902219,163132.297,19230.415,11.78823284
451,180620,163050.497,602.218,0.369344474
452,844130,160928.36,8282.789,5.146879643
453,722540,160817.998,64.89,0.040349961
454,441299,160065.42,284.626,0.177818544
455,441890,159648.136,4403.549,2.758284005
456,230910,159259.908,16985.695,10.66539295
457,846789,158895.913,1113.629,0.700854401
458,640351,156896.572,189.94,0.121060644
459,293729,155926.458,1565.685,1.004117595
460,900319,155636.847,107.417,0.069017718
461,701329,155014.949,1599.203,1.031644374
462,220830,154922.356,4425.792,2.856780722
463,740911,154047.222,797.579,0.517749681
464,110813,154025.556,41125.655,26.70053988
465,841381,153922.915,3348.801,2.175635122
466,480252,153704.468,3168.519,2.061435846
467,850151,153392.733,3298.132,2.150122718
468,721890,153237.987,14.717,0.009604015
469,761010,153165.289,4276.131,2.791840781
470,880211,152995.063,1675.966,1.095437962
471,382100,152827.874,1658.91,1.08547607
472,400950,152675.516,2559.371,1.676346717
473,841319,152418.143,639.814,0.419775486
