Product,Value_EU,Value_NLD,Percentage
330410,223774.354,4952.007,2.212946619
390950,223087.231,23688.516,10.61849927
200799,222956.13,2734.899,1.226653423
391390,222545.746,1691.38,0.760014528
848250,221908.806,1288.643,0.580708365
850710,221484.667,244.744,0.110501554
870130,220257.65,9030.988,4.100192661
481139,219525.894,24940.463,11.36105748
21019,219464.749,,
851671,218888.593,9572.882,4.37340378
130219,218684.997,1450.496,0.663280984
340220,218533.574,15744.897,7.204795452
640420,218229.421,356.117,0.163184688
940540,218180.955,5640.695,2.58532877
854390,218086.727,8617.562,3.95143809
890120,217155.769,,
903040,217122.431,1069.111,0.492400069
841590,216753.182,59543.523,27.47065692
842119,216688.632,1184.146,0.546473522
381519,216477.908,31785.516,14.68302992
854460,216233.528,1665.542,0.770251503
321410,215432.544,9516.17,4.417238836
851140,214127.68,2351.052,1.097967344
843680,213957.654,30049.808,14.04474551
611010,212721.625,131.319,0.061732793
830210,212468.975,714.725,0.336390289
903089,211964.106,5028.927,2.372537075
722530,211468.926,89630.438,42.38468493
820730,210083.297,2901.566,1.381150259
90121,209963.431,6811.129,3.243959659
420231,209780.398,2902.944,1.38380136
750522,208662.651,2003.919,0.96036305
852721,208409.508,20.63,0.009898781
950800,207398.819,31045.609,14.96903847
950390,206997.505,4210.567,2.034114856
853649,206874.527,1851.389,0.894933285
930630,206200.29,755.732,0.366503849
845590,205209.424,709.035,0.345517758
853720,205071.512,654.389,0.319102831
930330,205030.075,1.703,0.00083061
390810,204612.621,10068.54,4.9207815
392010,203867.036,10166.206,4.986684556
151590,203797.147,6061.773,2.974415044
848360,203552.96,1008.182,0.495292233
381121,201554.485,3542.057,1.757369478
844190,201041.757,15111.446,7.516570799
844330,200834.535,2600.753,1.294972999
842211,200631.278,564.701,0.281462096
940290,200533.7,13754.164,6.858779347
844180,198139.038,5108.092,2.578034118
820750,197888.42,1991.491,1.006370661
730620,197419.855,,
902230,194879.569,3672.816,1.884659341
731816,194472.054,1495.495,0.769002522
851580,193842.332,1997.725,1.03059274
120991,192724.205,121592.437,63.09141968
391990,192140.732,3750.881,1.952152967
180632,192137.618,3561.332,1.853531878
730840,192038.021,2498.48,1.301034028
851590,188997.647,8243.327,4.361602978
720441,188494.301,69469.433,36.85492486
846390,186922.315,88.477,0.047333567
903090,186168.444,3876.652,2.082335715
690919,185812.422,2280.973,1.227567552
30541,183919.45,91955.451,49.99767616
846299,182039.04,1500.769,0.824421509
271111,181846.768,,
350691,181623.094,19033.013,10.47940137
392350,181595.275,10759.25,5.924851294
350400,181257.192,9619.9,5.30732044
853180,180945.858,1857.864,1.026751328
901850,180819.867,16480.348,9.114235218
880390,180778.284,9129.734,5.050238224
481021,180579.089,4.612,0.002554006
450310,180469.493,0.195,0.000108052
870810,180166.984,610.161,0.338664158
842489,178490.153,5443.97,3.050011392
750512,178413.063,120.69,0.067646392
401199,178312.052,293.629,0.164671427
710812,176493.428,29.914,0.016949073
851660,176226.376,426.212,0.241854829
871419,175163.918,6020.263,3.436931001
847290,175132.776,65.329,0.037302555
391190,175021.474,362.335,0.207023168
900190,174611.776,3861.991,2.211758616
843340,174213.76,6001.531,3.444923639
711019,174094.218,57.48,0.033016605
860900,173387.996,65483.535,37.76705222
190110,172951.801,6824.12,3.945677328
902300,172907.091,10429.157,6.031653728
843360,172191.081,36492.353,21.1929403
30212,171136.638,6338.95,3.70402859
854470,170538.149,6670.054,3.911180014
850720,170138.935,799.266,0.469772542
390799,169798.936,38461.887,22.65142992
850790,169665.436,1316.247,0.775789714
730900,169550.496,7262.786,4.283553379
481840,168718.761,983.543,0.582948212
110900,168053.605,1021.8,0.60802028
721921,167922.232,634.133,0.377634928
710399,166303.992,5.376,0.003232634
420330,166233.431,1550.881,0.932953733
350110,166152.29,3.912,0.002354466
220290,165618.998,75124.514,45.3598409
901180,165415.355,17033.78,10.2975809
381590,164673.437,38072.412,23.11994739
843320,164610.25,968.86,0.588578172
940171,164225.093,2878.986,1.753073143
481039,164111.147,,
847759,163967.469,22490.919,13.71669584
902219,163132.297,19230.415,11.78823284
180620,163050.497,602.218,0.369344474
844130,160928.36,8282.789,5.146879643
722540,160817.998,64.89,0.040349961
441299,160065.42,284.626,0.177818544
441890,159648.136,4403.549,2.758284005
230910,159259.908,16985.695,10.66539295
846789,158895.913,1113.629,0.700854401
640351,156896.572,189.94,0.121060644
293729,155926.458,1565.685,1.004117595
900319,155636.847,107.417,0.069017718
701329,155014.949,1599.203,1.031644374
220830,154922.356,4425.792,2.856780722
740911,154047.222,797.579,0.517749681
110813,154025.556,41125.655,26.70053988
841381,153922.915,3348.801,2.175635122
480252,153704.468,3168.519,2.061435846
850151,153392.733,3298.132,2.150122718
721890,153237.987,14.717,0.009604015
761010,153165.289,4276.131,2.791840781
880211,152995.063,1675.966,1.095437962
382100,152827.874,1658.91,1.08547607
400950,152675.516,2559.371,1.676346717
841319,152418.143,639.814,0.419775486
902519,152106.168,3415.745,2.245632143
711290,151810.4,10.894,0.007176056
843930,151017.218,,
291590,151014.69,36583.421,24.2250744
901580,150352.825,16198.697,10.77378958
847730,150017.455,424.667,0.283078392
160590,149795.057,1090.608,0.728066748
60110,149708.096,146696.748,97.98852027
940380,149026.696,1467.987,0.985049685
390720,148698.558,9080.232,6.106469439
611020,148427.349,5756.264,3.87816938
293410,148421.09,557.543,0.375649444
180631,148394.047,1569.394,1.057585551
853400,148149.836,22353.108,15.088176
830242,147546.179,1664.463,1.128096309
902720,147380.724,4012.539,2.72256703
842959,147221.618,6825.523,4.63622333
491199,147149.095,1826.552,1.241293397
360300,146823.88,131.527,0.089581477
901380,146375.207,2914.983,1.99144586
710692,146192.411,639.355,0.437338023
293100,144944.55,2017.639,1.392007495
902920,144052.752,2209.847,1.534053997
950699,142890.287,1724.448,1.206833604
410431,142601.339,3528.104,2.474102996
950611,142579.628,23.493,0.016477108
903081,142487.534,4657.418,3.268649453
930510,142330.571,6.478,0.004551376
700319,142155.664,262.724,0.184814303
294000,142117.524,11574.359,8.144216613
200970,141559.749,284.021,0.200636835
293722,140884.375,43.895,0.031156755
220900,140798.023,334.247,0.237394669
401099,140632.15,11239.681,7.992255683
320890,140619.357,19942.311,14.18176802
250100,140374.044,19340.175,13.77760051
292429,140164.202,89.338,0.063738101
851490,139261.202,3031.595,2.176912849
870893,138981.326,67.281,0.048410101
711719,138154.882,100.93,0.073055688
401191,137540.719,508.098,0.36941642
392390,136895.655,17550.532,12.82037184
731700,136515,283.756,0.207857012
843050,136482.243,82.043,0.060112582
851521,136436.275,9667.823,7.085962293
390730,136234.471,27948.12,20.5147198
841939,135825.988,14560.729,10.72013479
903010,135440.116,7844.082,5.791549972
